commune,insee,doc,date_approbation,idurba_base,idurba_gpu,statut_evolution,source,vigilance
Saint-Leu,97413,PLU,2007-02-26,97413_20070226,AUCUN_DOCUMENT_SUR_GPU,revision generale EN PHASE FINALE : projet re-arrete 11/12/2025 ; avis MRAe 12/03/2026 ; avis DEFAVORABLE commission permanente Region 27/02/2026 (incompatibilites SAR) mais la ville poursuit ; enquete publique lancee (S1-S2 2026) ; approbation visee debut S2 2026 — PLU 2007 reste opposable au 13/07/2026,API GPU DU_97413 (partition vide) + saintleu.re + imazpress + zinfos974,MAINTENUE (MAXIMALE) : candidat n°1 au recalibrage — approbation possible dans les semaines a venir ; surveiller saintleu.re et le GPU chaque semaine
Saint-Louis,97414,PLU,2025-12-18,97414_plu_20251218,AUCUN_DOCUMENT_EN_PRODUCTION (97414_PLU_20251218 retire le 10/07/2026 ; re-televersement not_valid),retrait GPU du 10/07/2026 TOUJOURS EFFECTIF au 13/07/2026 : aucun PLU de Saint-Louis servi par le GPU ; aucune actualite contentieuse trouvee (presse + jurisprudence) → probleme de televersement probable ; M1 approuvee 09/04/2024 deja integree au millesime,API GPU DU_97414 (verifie 13/07/2026) + /api/97414/procedures + presse locale (rien),MAINTENUE : republication NON intervenue — re-verifier d'ici quelques jours ; la base porte le dernier opposable connu
Saint-Paul,97415,PLU,2025-12-17,97415_PLU_20251217,97415_PLU_20251217,approuve ; aucune procedure en cours connue,API GPU DU_97415 + /api/97415/procedures (vide),aucune ; NB info_surf GPU : 173 perimetres DPU + ZAD Cambaie et ZAD Barrage (typeinf 04/05) non ingeres
Saint-Pierre,97416,PLU,2024-06-25,97416_PLU_20240625,97416_PLU_20240625,approuve ; aucune procedure en cours connue,API GPU DU_97416 + /api/97416/procedures (vide),aucune ; NB : ZAD de Pierrefonds en cours de creation par la prefecture (dossier publie sur reunion.gouv.fr — pas encore de couche SIG)
Saint-Philippe,97417,RNU,,RNU (debordements 97412_PLU_20240320 et 97419_PLU_20190504),AUCUN_DOCUMENT_SUR_GPU,RNU confirme (aucun document DU_97417 ; 0 zonage au bourg) ; PLU en elaboration (DEAL),API GPU DU_97417 + apicarto municipality + DEAL Reunion,faible : debordement Saint-Joseph en base = millesime perime 20240320 (sans impact scoring : hors zonage propre)
Sainte-Marie,97418,PLU,2025-11-26,97418_plu_20251126,97418_PLU_20251126,approuve ; aucune procedure en cours connue (casse differente en base — meme document),API GPU DU_97418 + /api/97418/procedures (vide),aucune ; NB info_surf GPU : 1 DPU renforce + 1 ZAD (typeinf 04/05) non ingeres
Sainte-Rose,97419,PLU,2019-05-04,97419_PLU_20190504,97419_PLU_20190504,approuve ; aucune procedure en cours connue,API GPU DU_97419 + /api/97419/procedures (vide),aucune
Sainte-Suzanne,97420,PLU,2025-09-29,97420_plu_20250929,97420_PLU_20250929,revision approuvee 29/09/2025 (procedure R close dans Sudocuh) — millesime en base = revision (casse differente en base — meme document),API GPU DU_97420 + /api/97420/procedures,aucune
Salazie,97421,PLU,2022-05-24,97421_PLU_20220524,97421_PLU_20220524,approuve ; aucune procedure en cours connue,API GPU DU_97421 + /api/97421/procedures (vide),aucune
Le Tampon,97422,PLU,2023-08-11,97422_PLU_20230811,97422_PLU_20230811,approuve ; aucune procedure en cours connue,API GPU DU_97422 + /api/97422/procedures (vide),aucune ; NB info_surf GPU : 2 DPU renforces (typeinf 04) non ingeres
Les Trois-Bassins,97423,PLU,2022-06-02,97423_PLU_20220602,97423_PLU_20220602,approuve ; aucune procedure en cours connue,API GPU DU_97423 + /api/97423/procedures (vide),aucune
Cilaos,97424,PLU,2024-02-13,97424_plu_20240213,97424_PLU_20240213,approuve ; aucune procedure en cours connue (casse differente en base — meme document),API GPU DU_97424 + /api/97424/procedures (vide),aucune
