idu,rang_servi,tier_servi,contrib_vois_z,contrib_retiree_servie,residuel_famille,raison
97406000AI0108,277,chaude,0.0008,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000BO0107,353,chaude,-0.1565,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000EX1113,456,chaude,0.0382,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000BO0366,863,chaude,0.3282,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97405000AL0667,430,chaude,0.0945,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97408000AO1810,785,chaude,-0.0088,0.4206,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97410000AO0480,459,chaude,-0.036,0.1227,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97420000AC0938,546,chaude,-0.0058,0.1227,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97404000AZ0125,126,brulante,-0.2104,0.0,calculee,voisinage défavorable : peu de ventes/permis autour de la parcelle (K4 bis) — le voisinage redistribue la tête
97422000AP1093,534,chaude,0.0128,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97415000EO0571,743,chaude,-0.2148,0.0,calculee,voisinage défavorable : peu de ventes/permis autour de la parcelle (K4 bis) — le voisinage redistribue la tête
97422000CS1595,904,chaude,-0.0126,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97406000AL0413,435,chaude,0.1205,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97415000CY1042,850,chaude,0.0243,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97413000CX2538,111,chaude,0.0742,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97405000BI1064,656,chaude,0.1678,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000AC2940,831,chaude,0.2203,0.1227,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97402000AD1052,371,brulante,-0.1087,0.0,calculee,voisinage défavorable : peu de ventes/permis autour de la parcelle (K4 bis) — le voisinage redistribue la tête
97422000BH0601,522,chaude,0.0169,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97423000AB1910,113,brulante,0.4482,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97409000AO0541,907,chaude,0.0741,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97409000AV0608,933,chaude,0.292,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97414000EN3944,539,chaude,0.3318,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000EP1062,85,chaude,-0.2694,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97405000AV0204,696,chaude,-0.0099,0.1227,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000AO1757,807,chaude,-0.0741,0.4206,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000IC0155,918,chaude,-0.0504,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97410000AE0144,495,chaude,-0.0822,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97403000AO0729,644,chaude,-0.3412,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000CS1524,935,chaude,0.4931,0.2395,habitat_interdit,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000AO1754,805,chaude,-0.0688,0.4206,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000AC1895,737,chaude,-0.2899,0.0,calculee,voisinage défavorable : peu de ventes/permis autour de la parcelle (K4 bis) — le voisinage redistribue la tête
97422000DK0311,673,chaude,0.0486,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97421000AV0615,460,chaude,-0.1893,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
