id;nom_affiche;producteur;famille;tables_servies;millesime_servi;date_injection;cadence_declaree;mode_remplissage;job_ingestion;cron;sentinelle;methode_sonde;derniere_sonde;dernier_millesime_publie_vu;raison_non_surveillee;url_producteur_connue;licence;absente_motif;preuve
region_ods_hub;Région Réunion Open Data (Opendatasoft);Région Réunion (Opendatasoft);hub;aucune (hub de catalogue);;;aucune;absente;aucun;aucun;oui;temoin;2026-09-03;283;;https://data.regionreunion.com/api/explore/v2.1/catalog/datasets;DOUTE — Licence à confirmer PAR JEU de données (portail Région Réunion ODS — audit M6 §1.11 R8).;hub (status=hub), hors vitrine — les jeux servis sont des lignes propres;"data_sources id=11 (SELECT du 05/09/2026) ; data_sources.status='hub' ; sources_catalog.py:36 ; hors vitrine (✓ live : 275 datasets. Clés :…, sources_catalog.py:36)"
peigeo_hub;PEIGEO (hub régional);AGORAH;hub;aucune (hub);;;aucune;absente;aucun;aucun;non;aucune;;;Y2 : peigeo.re répond désormais (200) mais c'est un site WordPress — plus de GeoNetwork/CSW ni d'API de catalogue à sonder (les chemins /geonetwork renvoient 404). Pas un jeu unique.;https://peigeo.re;DOUTE — Licence à confirmer par jeu (AGORAH/PEIGEO — audit M6 §1.11 R8).;hub AGORAH, status=a_faire, hors vitrine;"data_sources id=12 (SELECT du 05/09/2026) ; data_sources.status='a_faire' ; sentinelle.py:512 ; hors vitrine (⚠ Hôte injoignable depuis l'in…, sources_catalog.py:36)"
deal_wms_wfs;DEAL Réunion (WMS/WFS);DEAL Réunion;urbanisme;DOUTE (QP NPNRU couvert par la ligne QPV/NPNRU);NPNRU — QP génération 2024 (DEAL/ANCT);;aucune;one_shot;DOUTE;aucun;oui;api;2026-09-03;;;https://www.reunion.developpement-durable.gouv.fr;"Données État — Licence Ouverte ; attribution : « Source : DEAL Réunion ». Licence à consigner couche par couche (audit M6 §1.11 R8).";;"data_sources id=13 (SELECT du 05/09/2026) ; sentinelle.py:513 (couche QP déjà couverte par « QPV 2024 (ANCT) »)"
geoplateforme_hub;Géoplateforme IGN;IGN;hub;aucune (hub);;;aucune;absente;aucun;aucun;non;aucune;;;Y2 : GetCapabilities WFS `data.geopf.fr` répond (200) mais SANS attribut `updateSequence` ni date, et le catalogue n'est pas exposé en JSON. Hub — les produits IGN servis sont surveillés individuellement (data.gouv `last_update`).;https://data.geopf.fr/wfs/ows;"Licence Ouverte 2.0 (Etalab) — ouverture totale des données publiques IGN au 01/01/2021 (hors SCAN) ; attribution : « © IGN ».";hub IGN (status=hub), hors vitrine — produits surveillés individuellement;"data_sources id=14 (SELECT du 05/09/2026) ; sentinelle.py:515 ; hors vitrine (✓ live : WFS GetFeature BDTOPO…, sources_catalog.py:36)"
potentiel_foncier_ods;data.regionreunion.com — Potentiel foncier;Région Réunion (Opendatasoft);potentiel;spatial_layers(potentiel_foncier);;;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;api;2026-09-03;2023-07-03T07:13:26+00:00;;https://data.regionreunion.com/api/explore/v2.1/catalog/datasets/potentiel-foncier/records;DOUTE — Licence à confirmer (jeu potentiel-foncier, Région Réunion ODS — audit M6 §1.11 R8).;;"data_sources id=15 (SELECT du 05/09/2026) ; même jeu que id 9 (endpoint_url identique)"
sitadel;SITADEL (autorisations d'urbanisme);SDES (Dido);dynamique;sitadel_permits, via_permits_geo, ingestion_runs;2026-07;2026-09-05;mensuelle;cron_mensuel;labuse ingest-permits (permits_sdes.py, delta 3 mois + upsert);ingest-sitadel · 30 0 10 * * UTC (04:30 Réunion le 10);oui;api;2026-09-03;2026-08-28T16:05:37.148Z;;https://data.statistiques.developpement-durable.gouv.fr/dido/api/v1/datafiles/{rid}/csv;Licence Ouverte — attribution : « Source : SDES, Sitadel ». Pétitionnaires personnes MORALES seulement (physiques anonymisées à la source).;;"data_sources id=16 (SELECT du 05/09/2026) ; src/labuse/cli.py:930 ; src/labuse/ingestion/permits_sdes.py:177-236 ; deploy/cron.d-labuse"
bd_topo;BD TOPO IGN;IGN / Géoplateforme;topographie;spatial_layers(batiment,voirie,water,ravine);BD TOPO® V3 (IGN) — édition non enregistrée;;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;api;2026-09-03;2026-07-31T00:00:00+00:00;;https://data.geopf.fr/wfs/ows;Licence Ouverte 2.0 (Etalab) — attribution : « © IGN — BD TOPO ».;;"data_sources id=17 (SELECT du 05/09/2026) ; kind batiment=817506, voirie=235643"
ban;Base Adresse Nationale;DINUM / IGN;acces;adresses, adresse_parcelles;;2026-08-19;mensuel;job_sur_clic;labuse ingest-ban --download;aucun posé (healthz attend 35 j — ops.py:23-41);oui;api;2026-09-03;2026-09-02T14:19:58.174000+00:00;;https://api-adresse.data.gouv.fr/search/;"Licence Ouverte depuis le 01/01/2020 (fin de l'ODbL ; ne pas confondre avec BANO, qui reste ODbL) — attribution : « Source : Base Adresse Nationale (DINUM/IGN) ».";;"data_sources id=18 (SELECT du 05/09/2026) ; config/sources_ingestion.yaml:22-23 ; src/labuse/cli.py:2636"
osm_overpass;OpenStreetMap / Overpass;OSM;signal;parcel_amenites;;2026-07-06;aucune;one_shot;labuse ingest-amenites;aucun;non;aucune;;;"Y3 : témoin de comptage testé (Overpass `out count`) → stable localement mais OSM est un flux continu (planet) et LABUSE l'interroge EN DIRECT (aucun snapshot ingéré) ; un compte sur zone stable ne représente pas l'île et n'est pas actionnable.";https://overpass-api.de/api/interpreter;ODbL 1.0 — attribution : « © les contributeurs d'OpenStreetMap — données disponibles sous ODbL (openstreetmap.org/copyright) ». Couches dérivées d'OSM (aménités, faux positifs) = bases dérivées : disponibles sous ODbL sur demande (share-alike, ODbL §4.4-4.6). Signal complémentaire, JAMAIS vérité juridique.;;"data_sources id=19 (SELECT du 05/09/2026) ; src/labuse/ingestion/amenites.py:84 ; src/labuse/cli.py:1312"
bpe_insee;BPE INSEE;INSEE;attractivite;spatial_layers(amenite_bpe);millésime 2025 (géographie au 01/01/2025);2026-08-21;aucune;one_shot;labuse bpe-build;aucun;oui;api;2026-09-03;2026-03-30T14:54:09.198000+00:00;;https://www.insee.fr/fr/statistiques/fichier/8217525/BPE25.zip;Licence Ouverte / Etalab 2.0 — attribution : « Source : Insee, Base permanente des équipements ».;;"data_sources id=20 (SELECT du 05/09/2026) ; src/labuse/ingestion/bpe.py:99 ; src/labuse/cli.py:236"
sirene_recherche_entreprises;SIRENE;INSEE / annuaire-entreprises;economie;aucune (API interrogée à la requête);Sirene INSEE — état courant (non versionné);;aucune;en_direct;deposants-actifs (lecture API);aucun;oui;api;2026-09-03;2026-09-01T09:22:23.007000+00:00;;https://recherche-entreprises.api.gouv.fr/search;Licence Ouverte — attribution : « Source : Insee, Sirene, via recherche-entreprises (DINUM) ».;;"data_sources id=21 (SELECT du 05/09/2026) ; src/labuse/ingestion/deposants_actifs.py ; src/labuse/cli.py:3309"
bd_carto_ocs;IGN BD CARTO V5 — occupation du sol;IGN / Géoplateforme;occupation_sol;spatial_layers(ocs_ge);BD CARTO® V5 — occupation du sol (IGN, proxy);;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;api;2026-09-03;2025-12-24T00:00:00+00:00;;https://data.geopf.fr/wfs/ows;Licence Ouverte 2.0 (Etalab) — attribution : « © IGN — BD CARTO (proxy OCS GE) ».;;"data_sources id=22 (SELECT du 05/09/2026) ; kind ocs_ge=1643"
abf_merimee;ABF / Monuments historiques;Base Mérimée (Ministère Culture);patrimoine;spatial_layers(abf);;2026-07-05;aucune;one_shot;labuse ingest-abf;aucun;oui;api;2026-09-03;2026-08-27T01:16:54+00:00;;https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/liste-des-immeubles-proteges-au-titre-des-monuments-historiques/records;Licence Ouverte (POP open data) — attribution : « Source : Ministère de la Culture, base Mérimée ».;;"data_sources id=24 (SELECT du 05/09/2026) ; src/labuse/ingestion/abf_merimee.py:22,29 ; src/labuse/cli.py:1405"
inpn_espaces_proteges;INPN / patrinat — espaces protégés;INPN/MNHN (espaces protégés) · ENS dép. non public;environnement;spatial_layers(ens) DOUTE (kind exact à confirmer);INPN/patrinat espaces protégés — passe 05/07/2026;;aucune;one_shot;layers_ingest.py;aucun;non;aucune;;;"Couches patrinat servies en WFS Géoplateforme ; pas de jeu data.gouv national « espaces protégés » à millésime trouvé, ni de requête témoin à agrégat stable.";https://data.geopf.fr/wfs/ows;"DOUTE — Licence à confirmer (couches espaces protégés INPN/patrinat — non tranché à l'audit M6 §1.11). Espaces protégés réglementaires (INPN) ; ce n'est PAS le zonage ENS départemental (introuvable en open data), aucun droit de préemption départemental déduit.";;"data_sources id=25 (SELECT du 05/09/2026) ; kind ens=73 ; sentinelle.py:510"
spanc_epci;VRD / assainissement (SPANC);EPCI;reseaux;DOUTE (champ manuel — aucune table dédiée trouvée);;;aucune;depot_manuel;saisie manuelle (rappel 365 j);aucun;non;rappel;;;;;DOUTE — Licence à confirmer (données EPCI, champ manuel — non tranché à l'audit M6 §1.11).;;"data_sources id=26 (SELECT du 05/09/2026) ; sentinelle.py:521,535-540 (RAPPELS_MANUELS)"
fichiers_fonciers_cerema;Fichiers fonciers (Cerema);DGFiP / Cerema;proprietaire;aucune;;;aucune;absente;aucun;aucun;non;rappel;;;;https://datafoncier.cerema.fr;NON INTÉGRÉ — aucune donnée ingérée. Acte d'engagement DGALN/DGFiP/Cerema : usage limité aux finalités déclarées, DÉMARCHAGE COMMERCIAL INTERDIT, rediffusion interdite → incompatible avec la prospection LABUSE (audit M6 §1.11 R1 : à trancher AVANT toute signature de convention). Version anonymisée : physiques masquées (_X_), morales complètes → RGPD-safe.;NON INTÉGRÉ — convention DGFiP/Cerema, aucune donnée ingérée (rappel 365 j posé);"data_sources id=27 (SELECT du 05/09/2026) ; data_sources.legal_notes id 27 ; sentinelle.py:522,538"
erosion_cotiere_geolittoral;Cerema / GéoLittoral — indicateur d'érosion côtière;Cerema / GéoLittoral;risques;spatial_layers(trait_de_cote);millésime 2018;;aucune;one_shot;layers_ingest.py;aucun;oui;entete;2026-09-03;"""d12d-56fa1dda4702d""";;https://geolittoral.din.developpement-durable.gouv.fr/telechargement/couches_sig/N_evolution_trait_cote_S_reunion_epsg2975_062018_shape.zip;Licence Ouverte 2.0 (open data Cerema/GéoLittoral) — attribution : « Source : Cerema / GéoLittoral, indicateur national de l'érosion côtière ».;;"data_sources id=28 (SELECT du 05/09/2026) ; kind trait_de_cote=24168"
bodacc;BODACC (procédures collectives);DILA (Opendatasoft);economie;bodacc_sondages, bodacc_procedures, bodacc_annonces_owner;;2026-08-19;aucune;job_sur_clic;labuse ingest-bodacc;aucun posé (healthz attend 2 j — ops.py:23-41 : écart);oui;api;2026-09-03;2021-06-22T09:07:24+00:00;;https://bodacc-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/annonces-commerciales/records;Licence Ouverte v2.0 — attribution : « Source : DILA — BODACC ». RGPD : signal INTERNE de priorisation (personnes morales, open data), jamais un export nominatif de masse (règle d'archi #2).;;"data_sources id=29 (SELECT du 05/09/2026) ; src/labuse/cli.py:2938 ; config/sources_ingestion.yaml:13-15"
deal_ppr;DEAL Réunion — PPR / aléas;DEAL Réunion (Lizmap);risques;spatial_layers(ppr);PPR/PPRL approuvés 2011–2026 (arrêtés, DEAL Lizmap);;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;temoin;2026-09-03;2:2dd55edec0156cfd;;https://deal974.lizmap.com/cartes/index.php/lizmap/service?repository=02sprinr&project=01risque;"Données État — Licence Ouverte ; attribution : « Source : DEAL Réunion, PPR / aléas ». Les documents PPR sont des actes réglementaires (libres).";;"data_sources id=30 (SELECT du 05/09/2026) ; kind ppr=164"
inpi_rne;INPI RNE (dirigeants);INPI (Registre National des Entreprises);economie;pm_dirigeants, pm_dirigeant_gigogne;;2026-07-06;aucune;one_shot;labuse ingest-inpi-rne / ingest-inpi-gigogne;aucun;non;aucune;;;API AUTHENTIFIÉE interrogée par SIREN (pas de requête témoin publique possible) — aucun millésime global à comparer.;https://registre-national-entreprises.inpi.fr/api/companies/{siren};"Licence INPI RNE 2024 (licence spécifique homologuée, art. L. 323-2 CRPA) : réutilisation, y compris commerciale, autorisée (art. 2.1) ; attribution exigée (art. 2.4, source + date de dernière mise à jour) : « Source : INPI — Registre national des entreprises, données du [date de dernière synchronisation] », sans suggérer une caution de l'INPI ; restrictions de recherche art. A.123-69 c. com. (art. 2.5). RGPD : personnes morales en open data complet ; données d'une personne PHYSIQUE conservées seulement si l'entreprise est diffusible. Signal INTERNE de priorisation, jamais un export nominatif de masse (règle d'archi #2). Naissance au MOIS.";;"data_sources id=31 (SELECT du 05/09/2026) ; src/labuse/cli.py:971,1024"
georisques_ssp;Géorisques — sites et sols pollués;BRGM / Géorisques;risques;spatial_layers(sol_pollue);;2026-08-13;aucune;one_shot;labuse ingest-georisques;aucun;oui;temoin;2026-09-03;2:4cc18f2a8700d546;;https://www.georisques.gouv.fr/api/v1/ssp;Licence Ouverte 2.0 (Etalab) — attribution : « Source : Géorisques (BRGM/MTE) ».;;"data_sources id=32 (SELECT du 05/09/2026) ; kind sol_pollue=513 ; src/labuse/cli.py:1093"
georisques_cavites;Géorisques — cavités souterraines;BRGM / Géorisques;risques;spatial_layers(cavite);;2026-08-13;aucune;one_shot;labuse ingest-georisques;aucun;oui;temoin;2026-09-03;2:bd0a0651ccfbeba3;;https://www.georisques.gouv.fr/api/v1/cavites;Licence Ouverte 2.0 (Etalab) — attribution : « Source : Géorisques (BRGM/MTE) ».;;"data_sources id=33 (SELECT du 05/09/2026) ; kind cavite=151"
georisques_icpe;Géorisques — ICPE;BRGM / Géorisques;risques;spatial_layers(icpe);;2026-08-13;aucune;one_shot;labuse ingest-georisques;aucun;oui;api;2026-09-03;2026-07-20T00:25:14.982000+00:00;;https://www.georisques.gouv.fr/api/v1/installations_classees;Licence Ouverte 2.0 (Etalab) — attribution : « Source : Géorisques (BRGM/MTE) ».;;"data_sources id=34 (SELECT du 05/09/2026) ; kind icpe=1261"
cartofriches;Cartofriches (Cerema);Cerema / DGALN;foncier;spatial_layers(friche);;2026-08-13;aucune;one_shot;labuse ingest-cartofriches;aucun;oui;api;2026-09-03;2023-04-14T00:00:00+00:00;;https://apidf-preprod.cerema.fr/cartofriches/geofriches/;Licence Ouverte 2.0 — attribution : « Source : Cerema, Cartofriches ». MAJ trimestrielle.;;"data_sources id=35 (SELECT du 05/09/2026) ; src/labuse/cli.py:1154 ; kind friche=372"
georisques_mvt;Géorisques — mouvements de terrain;BRGM / Géorisques;risques;spatial_layers(mvt);;2026-07-05;aucune;one_shot;labuse ingest-georisques;aucun;oui;temoin;2026-09-03;2:8e023f4b03a41895;;https://www.georisques.gouv.fr/api/v1/mvt;Licence Ouverte 2.0 (Etalab) — attribution : « Source : Géorisques (BRGM/MTE) ».;;"data_sources id=36 (SELECT du 05/09/2026) ; kind mvt=3085"
dpe_ademe;DPE ADEME (logements existants);ADEME;energie;dpe_records;;2026-08-18;hebdomadaire;cron_mensuel;labuse ingest-dpe (SAUTE les communes déjà peuplées sans --force);ingest-dpe · 0 0 12 * * UTC (04:00 Réunion le 12);oui;api;2026-09-03;2026-09-02T19:09:24.311Z;;https://data.ademe.fr/data-fair/api/v1/datasets/dpe03existant/lines;Licence Ouverte — attribution : « Source : ADEME, base DPE ». RGPD : diagnostic du bien, pas nominatif.;;"data_sources id=37 (SELECT du 05/09/2026) ; src/labuse/cli.py:1218 (saut) ; src/labuse/ingestion/dpe.py:86 ; deploy/cron.d-labuse"
qpv_2024;QPV 2024 (ANCT);ANCT (Agence nationale cohésion des territoires);fiscal;spatial_layers(qpv);génération 2024;2026-07-05;aucune;one_shot;labuse ingest-qpv;aucun;oui;api;2026-09-03;2026-07-21T09:50:36.727000+00:00;;https://static.data.gouv.fr/resources/quartiers-prioritaires-de-la-politique-de-la-ville-qpv/20260115-204323/qpv-2024-geojson.zip;Licence Ouverte — attribution : « Source : ANCT, quartiers prioritaires de la politique de la ville, génération 2024 ». Décret 2023-1314 (en vigueur 01/01/2024).;;"data_sources id=38 (SELECT du 05/09/2026) ; src/labuse/ingestion/qpv.py:55 ; src/labuse/cli.py:1298"
sru_dhup;Inventaire SRU (DHUP);Ministère Transition écologique — DHUP;logement;commune_contexte_sru;;2026-07-08;aucune;one_shot;DOUTE (script d'import à identifier);aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://static.data.gouv.fr/resources/communes-et-inventaire-sru/20251219-143258/donnees-sru-data-gouv-2025-v2.csv;Licence Ouverte v2.0 (Etalab);;"data_sources id=39 (SELECT du 05/09/2026) ; table commune_contexte_sru (information_schema 05/09)"
npnru;NPNRU (DEAL Réunion / ANCT);DEAL Réunion (WFS Carmen) · ANCT (liste);logement;anru_quartiers, spatial_layers(anru);;2026-07-08;aucune;one_shot;scripts/ingest_npnru.py;aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;http://ws.carmen.developpement-durable.gouv.fr/WFS/29/DEAL_REUNION_2020?typename=NPNRU;Données État — Licence Ouverte (liste ANCT LOv2, millésime 2022);;"data_sources id=40 (SELECT du 05/09/2026) ; scripts/ingest_npnru.py ; kind anru=8"
insee_rp_logement;INSEE RP Logement 2023;INSEE;logement;commune_insee_logement;;2026-07-08;aucune;one_shot;scripts/ingest_insee_logement.py;aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://www.insee.fr/fr/statistiques/fichier/8997194/base_cc_logement_2023_xlsx.zip;Licence Ouverte / Etalab 2.0 — mention « Source : Insee, RP 2023, exploitation principale »;;"data_sources id=41 (SELECT du 05/09/2026) ; scripts/ingest_insee_logement.py"
plh_epci;PLH des 5 EPCI (extraction documentaire);EPCI 974 · DEAL Réunion (CDHH);logement;plh_epci;;2026-07-08;aucune;depot_manuel;extraction documentaire (src/labuse/plh.py);aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://www.reunion.developpement-durable.gouv.fr/IMG/pdf/20191205_rapport-cdhh-091219.pdf;Documents publics des EPCI et de l'État — chaque chiffre porte sa référence (doc + page) dans plh_epci.refs;;"data_sources id=42 (SELECT du 05/09/2026) ; src/labuse/plh.py ; legal_notes id 42 (chiffre → plh_epci.refs)"
rtaa_dom;RTAA DOM (textes réglementaires);Légifrance — CCH R.192-1 à R.192-4 + arrêtés 17/04/2009 modifiés 11/01/2016;reglementaire;aucune (règles portées par le code);;2026-07-08;aucune;one_shot;aucun;aucun;non;aucune;;;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;https://www.legifrance.gouv.fr/loda/id/JORFTEXT000020530547;Textes officiels (Légifrance) — versions consolidées « en vigueur » vérifiées le 08/07/2026;;"data_sources id=43 (SELECT du 05/09/2026) ; data_sources id 43 (textes réglementaires, catalogue)"
sup_gpu;SUP — assiettes GPU (API Carto);IGN (Géoportail de l'urbanisme);reglement;spatial_layers(sup);;2026-07-10;aucune;cron_mensuel;labuse ingest-sup (sup_gpu.py, purge par commune);sync-gpu · 0 0 15 * * UTC (04:00 Réunion le 15);non;aucune;;;"API Carto GPU (assiette-sup-s) par géométrie — pas de millésime global lisible ; interrogé en direct.";https://apicarto.ign.fr/api/gpu/assiette-sup-s;Licence Ouverte (GPU) — attribution : « Source : Géoportail de l'urbanisme (IGN) ». Assiettes telles que téléversées par les gestionnaires — exhaustivité variable par catégorie.;;"data_sources id=44 (SELECT du 05/09/2026) ; src/labuse/cli.py:2557 ; src/labuse/ingestion/sup_gpu.py:55-56 ; deploy/cron.d-labuse"
recherche_entreprises_dinum;Recherche d'entreprises (DINUM);DINUM (api.gouv.fr);economie;aucune (API interrogée à la requête);Sirene INSEE / RNE INPI (api.gouv.fr) — courant;;aucune;en_direct;aucun;aucun;non;aucune;;;"Y3 : requête témoin `?departement=974` testée → `total_results` plafonné à 10000 (non exploitable) ; agrégat Sirene/RNE en direct, déjà couvert par la veille SIRENE (data.gouv).";https://recherche-entreprises.api.gouv.fr/search;"Licence Ouverte (open data DINUM, agrégat INSEE/RNE) — attribution : « Source : Insee (Sirene) / INPI (RNE), via recherche-entreprises.api.gouv.fr ». RGPD : personnes morales ; signal INTERNE de priorisation (Score V), jamais un export nominatif de masse (règle d'archi #2).";;"data_sources id=45 (SELECT du 05/09/2026) ; sentinelle.py:505 (agrégat en direct, couvert par veille SIRENE)"
