robinet_id;chiffre_id;libelle_affiche;unite;niveau;calcul;fichier_ligne;reservoirs_lus;run_lu;cache;tampon;definition_lue;preuve
outil_pieges;n_vigilances;Vigilances;nombre;parcelle;moteur:cascade;src/labuse/api/modules.py:risques_audit;georisques_api,deal_ppr,abf_merimee,znieff_inpn;q_v11_m137 (constante_unique);aucun;rien;compte des couches cascade en SOFT_FLAG/HARD_EXCLUDE;src/labuse/api/modules.py:risques_audit
outil_plu;n_extraits_plu;extraits (règlement);nombre;commune;sql_propre;src/labuse/api/modules.py:1893-1952;gpu_plu_api_carto,sudocuh;live;aucun;rien;extraits de règlement servis par commune (corpus);src/labuse/api/modules.py:1893-1952
outil_plu;n_communes_rnu;au RNU;nombre;global;sql_propre;src/labuse/api/modules.py:1942;sudocuh;live;aucun;rien;communes au statut rnu du corpus (registre config/rnu_communes.yaml);src/labuse/api/modules.py:1942
outil_plu_simuler;simulplu_resultat;Simuler un changement (parcelles gagnées);nombre;commune;moteur:cascade;src/labuse/api/moteurs.py:56-124;gpu_plu_api_carto;q_v11_m137 (constante_unique);aucun;rien;re-verdict cascade sous zonage hypothétique (dryrun);src/labuse/api/moteurs.py:56-124
outil_comparer_parcelles;comparateur_composite;Score composite;nombre;commune;sql_propre;src/labuse/api/comparateur.py:88-118;dvf,sitadel,cosia;q_v11_m137 (constante_unique);mémoïsé (raw_rows);rien;moyenne pondérée min-max des 6 axes présents, poids réglables;src/labuse/api/comparateur.py:88-118
outil_comparer_parcelles;stock_opportunites;Stock d'opportunités (brûlantes + chaudes);nombre;commune;moteur:scoring_p_v2;src/labuse/api/comparateur.py:47-50;cosia,sitadel,dvf;q_v11_m137 (constante_unique);mémoïsé;rien;count tiers brûlante+chaude au run servi, par insee;src/labuse/api/comparateur.py:47-50
outil_comparer_parcelles;velocite_delai_median_mois;Vélocité admin (délai médian dépôt→autorisation, mois);nombre;commune;sql_propre;src/labuse/api/comparateur.py:51-53;sitadel;live;mémoïsé;rien;percentile_cont(0.5) sur m10_permit_delais famille logements;src/labuse/api/comparateur.py:51-53
outil_comparer_parcelles;permis_5a_n;Dynamisme permis (SITADEL, 5 ans);nombre;commune;sql_propre;src/labuse/api/comparateur.py:54-56;sitadel;live;mémoïsé;rien;count sitadel_permits date ≥ now−5 ans;src/labuse/api/comparateur.py:54-56
outil_comparer_parcelles;deficit_sru_pts;Déficit SRU (objectif − taux LLS, points);nombre;commune;passe_plat;src/labuse/api/comparateur.py:56;sru_dhup;live;mémoïsé;rien;greatest(objectif_pct − taux_lls, 0) depuis commune_contexte_sru;src/labuse/api/comparateur.py:56
outil_comparer_parcelles;pression_zan_ha;Pression ZAN (ENAF consommé 2021-2024, ha);nombre;commune;passe_plat;src/labuse/api/comparateur.py:57;(commune_conso_enaf — réservoir Cerema ENAF, hors catalogue);live;mémoïsé;rien;conso_2021_2024_m2 / 10000;src/labuse/api/comparateur.py:57
outil_comparer_parcelles;prix_neuf_vefa_eur_m2;Prix de sortie neuf VEFA (DVF, €/m²);€/m²;commune;moteur:marche_communes;src/labuse/api/comparateur.py:139-141 (neuf_vefa_commune LIVE — RETOURS-11F M1);dvf;live;mémoïsé;rien;médiane VEFA live, MÊME moteur que fiche et carte (divergence précalc corrigée);src/labuse/api/comparateur.py:139-141 (neuf_vefa_commune LIVE — RETOURS-11F M1)
outil_comparer_parcelles;prix_ancien_median_eur_m2;€/m² ancien;€/m²;commune;moteur:marche_communes;src/labuse/api/moteurs.py:prix_ancien_communes (partagé PDF baromètre);dvf;live;mémoïsé;rien;médiane DVF ventes strictes, filtre de retenue du baromètre;src/labuse/api/moteurs.py:prix_ancien_communes (partagé PDF baromètre)
outil_scan_patrimoine;n_parcelles_pm;Parcelles détenues;nombre;proprietaire;sql_propre;src/labuse/api/modules.py:patrimoine;dgfip_parcelles_pm;live;aucun;millesime;count parcelle_personne_morale par SIREN (millésime 2025);src/labuse/api/modules.py:patrimoine
outil_prospection_solaire;prod_spec_kwh_kwc;Productible;nombre;parcelle;moteur:solaire;src/labuse/api/modules.py:prospection_solaire;pvgis,bd_topo;en_dur (millésime gelé);aucun;millesime;productible PVGIS SARAH3 gelé au run du builder (parcel_solar);src/labuse/api/modules.py:prospection_solaire
outil_prospection_solaire;azimut_bati_deg;Azimut (Estimé);nombre;parcelle;moteur:solaire;src/labuse/ingestion/solaire.py (ST_OrientedEnvelope);bd_topo;en_dur;aucun;millesime;azimut du bâti principal, Estimé;src/labuse/ingestion/solaire.py (ST_OrientedEnvelope)
outil_solaire_piscines;n_piscines;Piscines détectées;nombre;commune;sql_propre;src/labuse/api/modules.py:prospection_piscines;bd_ortho;live;aucun;millesime;count parcel_equipements piscine (BD ORTHO 2025, ~90,7 %);src/labuse/api/modules.py:prospection_piscines
outil_communes_evolution;prix_ancien_median_eur_m2;€/m² ancien (baromètre);€/m²;commune;moteur:marche_communes;src/labuse/api/moteurs.py:barometres;dvf;live;aucun;rien;même fonction prix_ancien_communes que comparateur et PDF;src/labuse/api/moteurs.py:barometres
outil_communes_evolution;mutations_12m_n;Mutations 12 mois;nombre;commune;sql_propre;src/labuse/api/app.py:1934-1940;dvf;live;aucun;rien;count dvf_mutations sur les 12 derniers mois DE DONNÉES (pas calendaire);src/labuse/api/app.py:1934-1940
outil_communes_acquisitions;acquisitions_pm_n;Acquisitions récentes (PM);nombre;commune;moteur:proprietaire_historique;src/labuse/api/app.py:commune_acquisitions_pm;dgfip_parcelles_pm;live;aucun;millesime;diff CONSTAT entre millésimes PM, maille commune;src/labuse/api/app.py:commune_acquisitions_pm
outil_permis;permis_12m_n;Permis (12 mois);nombre;commune;sql_propre;src/labuse/api/modules.py:permis;sitadel;live;aucun;rien;count sitadel_permits fenêtre 12 mois;src/labuse/api/modules.py:permis
outil_permis;velocite_delai_median_mois;Délai médian;nombre;commune;sql_propre;src/labuse/api/modules.py:velocite;sitadel;live;aucun;rien;même percentile m10_permit_delais (source unique velocite());src/labuse/api/modules.py:velocite
outil_permis_point_mort;point_mort_n;Permis au point mort;nombre;commune;sql_propre;src/labuse/api/modules.py:promesses;sitadel;live;aucun;rien;permis autorisés sans DOC/DAACT dans la fenêtre;src/labuse/api/modules.py:promesses
outil_densifier;n_densifiables;Parcelles densifiables;nombre;commune;moteur:renouvellement;src/labuse/api/modules.py:renouvellement;(dérivé cascade);q_v11_m137 (constante_unique);aucun;run;count parcel_renouvellement au run servi;src/labuse/api/modules.py:renouvellement
outil_densifier;sdp_residuelle_m2;SDP résiduelle (commune);m²;commune;moteur:residuel;src/labuse/api/modules.py:renouvellement;gpu_plu_api_carto,cosia;residuel_runs.is_served;aucun;rien;somme des SDP résiduelles des parcelles densifiables;src/labuse/api/modules.py:renouvellement
outil_etude_zone;population_zone;Habitants (zone);nombre;zone;moteur:zone;src/labuse/zone.py (population_zone — point Filosofi UNIQUE);filosofi_carreaux;live;zone_isochrone_cache (sans TTL);rien;somme carreaux Filosofi 200 m intersectant l'isochrone;src/labuse/zone.py (population_zone — point Filosofi UNIQUE)
outil_etude_zone;n_concurrents_zone;Concurrents (NAF);nombre;zone;moteur:zone;src/labuse/zone.py (comptages_zone);sirene_etablissements;live;aucun;rien;count sirene_etablissements du NAF choisi dans la zone, chacun avec son temps;src/labuse/zone.py (comptages_zone)
outil_etude_zone;emplois_fourchette;Emplois (fourchette);tranche;zone;moteur:zone;src/labuse/zone.py;sirene_etablissements;live;aucun;rien;somme des tranches d'effectifs SIRENE (jamais un point);src/labuse/zone.py
outil_etude_zone;revenu_approche_eur;Revenu (valeur approchée);€;zone;moteur:zone;src/labuse/zone.py;filosofi_carreaux;live;aucun;rien;niveau de vie approché N/M carreaux couverts (i_est_200);src/labuse/zone.py
outil_etude_zone;trafic_mja;Trafic (MJA);nombre;zone;passe_plat;src/labuse/zone.py;trafic_rn;live;aucun;millesime;comptage MJA du tronçon RN le plus proche, millésime porté par tronçon;src/labuse/zone.py
outil_radar_marche;annonces_actives_n;Biens en vente;nombre;commune;moteur:marche_pige;src/labuse/pige/marche.py:71-91;radar_pige;live;aucun;rien;"count pige_biens actifs a_qualifier=false ; n<5 → NULL insuffisant";src/labuse/pige/marche.py:71-91
outil_radar_marche;prix_demande_median_eur_m2;Prix demandé (médiane);€/m²;commune;moteur:marche_pige;src/labuse/pige/marche.py:71-91;radar_pige;live;aucun;rien;médiane des prix affichés terrain/bâti, n<5 masqué;src/labuse/pige/marche.py:71-91
outil_radar_marche;delai_vente_median_j;Délai médian;nombre;commune;moteur:marche_pige;src/labuse/pige/marche.py;radar_pige;live;aucun;rien;médiane 1re vue → retrait/vente;src/labuse/pige/marche.py
outil_radar_marche;ecart_demande_acte_pct;Écart demandé/acté;%;commune;moteur:marche_pige;src/labuse/api/fiche_commune.py:16-58 (comparable, partagé);radar_pige,dvf;live;aucun;rien;médiane demandé vs médiane DVF actée, servi dès SEUIL_N biens;src/labuse/api/fiche_commune.py:16-58 (comparable, partagé)
fiche_parcelle_score;tier_opportunite;Score d'opportunité (tier);classe;parcelle;moteur:scoring_p_v2;src/labuse/api/app.py:3283 (_q_v2_fiche);cosia,sitadel,dvf,filosofi_carreaux;q_v11_m137 (constante_unique);aucun;rien;tier + rang lus de parcel_p_score_v2 au run servi, jamais recalculés;src/labuse/api/app.py:3283 (_q_v2_fiche)
fiche_parcelle_score;rang_tier;Rang (dans le tier);nombre;parcelle;moteur:scoring_p_v2;src/labuse/api/app.py:3283;(idem scoring);q_v11_m137 (constante_unique);aucun;rien;rang au sein du tier;src/labuse/api/app.py:3283
fiche_parcelle_constructibilite;capacite_logements;Capacité (logements);logements;parcelle;moteur:residuel;src/labuse/api/app.py:3283;gpu_plu_api_carto,cosia;residuel_runs.is_served;aucun;rien;fourchette de capacité depuis le résiduel servi;src/labuse/api/app.py:3283
fiche_parcelle_constructibilite;sdp_residuelle_m2;SDP résiduelle;m²;parcelle;moteur:residuel;src/labuse/api/app.py:3283;gpu_plu_api_carto,cosia;residuel_runs.is_served;aucun;rien;même valeur que l'outil Faisabilité (vue parcel_residuel);src/labuse/api/app.py:3283
fiche_parcelle_constructibilite;charge_fonciere_eur;Calculette de charge foncière;€;parcelle;front;frontend/src/components/fiche/constructibilite.tsx:19-93;dvf;live;aucun;rien;CALCULÉE AU FRONT depuis prix de sortie serveur + curseurs utilisateur (Q5.4);frontend/src/components/fiche/constructibilite.tsx:19-93
fiche_parcelle_risques;n_vigilances;Vigilances;nombre;parcelle;front;frontend/src/components/fiche/risques.tsx:16-30;georisques_api,deal_ppr;q_v11_m137 (constante_unique);aucun;rien;COMPTAGE AU FRONT des lignes cascade SOFT_FLAG/HARD_EXCLUDE (Q5.4);frontend/src/components/fiche/risques.tsx:16-30
fiche_parcelle_marche;prix_terrain_secteur_eur_m2;Terrain nu secteur;€/m²;parcelle;moteur:sector_price;src/labuse/faisabilite/bilan.py (sector_price);dvf,cadastre_api_carto;live;aucun;rien;médiane DVF rayon adaptatif 500→1500 m, trim 5 %, min 8 ventes, indice fiabilité;src/labuse/faisabilite/bilan.py (sector_price)
fiche_parcelle_marche;prix_sortie_bati_eur_m2;Prix de sortie — bâti secteur;€/m²;parcelle;moteur:sector_price;frontend/src/components/fiche/marche.tsx:19-90;dvf;live;aucun;rien;médiane bâti secteur + tendance calculées côté front sur ventes serveur (Q5.4);frontend/src/components/fiche/marche.tsx:19-90
fiche_parcelle_marche;prix_neuf_vefa_eur_m2;Neuf (VEFA) — commune;€/m²;commune;moteur:marche_communes;src/labuse/api/app.py:3283 (neuf_vefa_commune);dvf;live;aucun;rien;même moteur live que comparateur/carte (RETOURS-11F M1);src/labuse/api/app.py:3283 (neuf_vefa_commune)
fiche_parcelle_marche;ventes_100m_n;Ventes à moins de 100 m;nombre;parcelle;sql_propre;src/labuse/api/app.py:3283 (dvf_parcelle);dvf;live;aucun;rien;count mutations à <100 m + médiane;src/labuse/api/app.py:3283 (dvf_parcelle)
fiche_parcelle_reseaux;pente_deg;Pente;nombre;parcelle;passe_plat;src/labuse/api/app.py:3283 (viabilisation);rge_alti;live;aucun;rien;pente moyenne parcelle (RGE ALTI), flag terrassement;src/labuse/api/app.py:3283 (viabilisation)
fiche_parcelle_reseaux;piscine_m2;Piscine ~m²;m²;parcelle;passe_plat;src/labuse/api/app.py:3283;bd_ortho;live;aucun;millesime;surface détectée parcel_equipements (BD ORTHO 2025);src/labuse/api/app.py:3283
fiche_parcelle_reseaux;distance_arret_m;Transport public — au plus proche;m;parcelle;sql_propre;src/labuse/api/app.py:3283 (proximites);gtfs_pan,osm_transport;live;aucun;rien;plus proche arrêt/pôle (distance en m);src/labuse/api/app.py:3283 (proximites)
fiche_parcelle_autour;population_zone;Habitants (autour);nombre;zone;moteur:zone;src/labuse/api/app.py:4265 (parcel_zone);filosofi_carreaux;live;zone_isochrone_cache;rien;même point Filosofi unique que l'Étude de zone;src/labuse/api/app.py:4265 (parcel_zone)
fiche_parcelle_autour;n_permis_proximite;Permis à proximité;nombre;parcelle;sql_propre;src/labuse/api/app.py:3283;sitadel;live;aucun;rien;permis Sitadel dans le rayon, avec distance et date;src/labuse/api/app.py:3283
fiche_parcelle_autour;depots_secteur_n;Déposés/autorisés (Sitadel);nombre;zone;sql_propre;src/labuse/api/app.py:3283;sitadel;live;aucun;rien;activité de dépôt par année dans le secteur;src/labuse/api/app.py:3283
fiche_parcelle_proprietaire;type_proprietaire;Propriétaire (type);classe;proprietaire;passe_plat;src/labuse/api/app.py:3283 (proprietaire_moral);dgfip_parcelles_pm;live;aucun;millesime;personne morale (dénomination) / personne physique non recensée — millésime 2025;src/labuse/api/app.py:3283 (proprietaire_moral)
fiche_parcelle_confiance;verdict_icd;Confiance données;verdict;parcelle;moteur:cascade;src/labuse/api/app.py:3283 (bloc icd);(couverture des couches);q_v11_m137 (constante_unique);aucun;rien;verdict de complétude des couches + liste des manquants;src/labuse/api/app.py:3283 (bloc icd)
fiche_parcelle_solaire;prod_spec_kwh_kwc;Productible (fiche);nombre;parcelle;moteur:solaire;table parcel_solar (14 col);pvgis;en_dur;aucun;millesime;même valeur gelée que l'outil Prospection solaire;table parcel_solar (14 col)
fiche_parcelle_division;divisible_classe;Division (candidate);classe;parcelle;moteur:division_or;src/labuse/api/app.py:2692-2696;cadastre_api_carto,cosia,gpu_plu_api_carto;q_v10_m129 (EN RETARD, lu sans filtre de run);aucun;rien;présence dans division_or_candidates — run figé q_v10, workflow de revue;src/labuse/api/app.py:2692-2696
fiche_commune_regles_urbanisme;statut_plu;Règles d'urbanisme (statut);classe;commune;moteur:plu_destinations;src/labuse/api/fiche_commune.py:137-144;sudocuh,gpu_plu_api_carto;live;fiche-commune-cache (nocturne);date;"RNU (registre) l'emporte ; sinon statut du registre veille_plu";src/labuse/api/fiche_commune.py:137-144
fiche_commune_zan;zan_reste_ha;Enveloppe ZAN (reste);nombre;commune;sql_propre;src/labuse/api/fiche_commune.py (rarete);(commune_conso_enaf);live;fiche-commune-cache;date;enveloppe restante estimée depuis conso ENAF;src/labuse/api/fiche_commune.py (rarete)
fiche_commune_sru;taux_lls_pct;Taux LLS;%;commune;passe_plat;src/labuse/api/fiche_commune.py (commune_contexte_sru);sru_dhup;live;fiche-commune-cache;date;taux LLS de l'inventaire SRU;src/labuse/api/fiche_commune.py (commune_contexte_sru)
fiche_commune_sru;deficit_sru_pts;Déficit SRU;nombre;commune;passe_plat;src/labuse/api/fiche_commune.py;sru_dhup;live;fiche-commune-cache;date;même définition que le comparateur (objectif − taux);src/labuse/api/fiche_commune.py
fiche_commune_permis;permis_12m_n;Permis 12 mois;nombre;commune;sql_propre;src/labuse/api/fiche_commune.py (permis_bloc);sitadel;live;fiche-commune-cache;date;count Sitadel 12 mois — partagé via raw_rows avec le comparateur;src/labuse/api/fiche_commune.py (permis_bloc)
fiche_commune_permis;velocite_delai_median_mois;Délai médian (mois);nombre;commune;sql_propre;src/labuse/api/fiche_commune.py;sitadel;live;fiche-commune-cache;date;même velocite() que l'outil Permis;src/labuse/api/fiche_commune.py
fiche_commune_permis;point_mort_n;Point mort;nombre;commune;sql_propre;src/labuse/api/fiche_commune.py;sitadel;live;fiche-commune-cache;date;même définition que l'outil Permis au point mort;src/labuse/api/fiche_commune.py
fiche_commune_plh;plh_objectif_logements_an;Objectif logements/an;logements;commune;passe_plat;src/labuse/api/fiche_commune.py (plh_epci);plh_epci;live;fiche-commune-cache;date;objectif PLH, chaque chiffre porte sa référence doc+page;src/labuse/api/fiche_commune.py (plh_epci)
fiche_commune_prix;prix_ancien_median_eur_m2;Ancien médian;€/m²;commune;moteur:marche_communes;src/labuse/api/fiche_commune.py:16-58 (comparable → raw_rows);dvf;live;fiche-commune-cache;date;MÊME source que comparateur et baromètre (prix_ancien_communes);src/labuse/api/fiche_commune.py:16-58 (comparable → raw_rows)
fiche_commune_prix;prix_neuf_vefa_eur_m2;Neuf;€/m²;commune;moteur:marche_communes;src/labuse/api/fiche_commune.py:16-58;dvf;live;fiche-commune-cache;date;même moteur live neuf_vefa_commune;src/labuse/api/fiche_commune.py:16-58
fiche_commune_prix;mutations_12m_n;Mutations 12 m;nombre;commune;sql_propre;src/labuse/api/fiche_commune.py;dvf;live;fiche-commune-cache;date;même fenêtre 12 mois de données que _foncier_commune;src/labuse/api/fiche_commune.py
fiche_commune_terrain_nu;prix_terrain_zone_eur_m2;Terrain nu (zone U / AU);€/m²;commune;moteur:marche_communes;src/labuse/faisabilite/marche_commune.py (ligne2_terrain_zone);dvf,gpu_plu_api_carto;live;fiche-commune-cache;date;médiane DVF terrain nu par famille de zone, seuil 10 ventes;src/labuse/faisabilite/marche_commune.py (ligne2_terrain_zone)
fiche_commune_annonces;annonces_actives_n;Biens en vente (Radar);nombre;commune;moteur:marche_pige;src/labuse/api/fiche_commune.py (marche_annonces → pige.marche.stats);radar_pige;live;fiche-commune-cache;date;même stats() que l'onglet Marché Radar;src/labuse/api/fiche_commune.py (marche_annonces → pige.marche.stats)
fiche_commune_annonces;prix_demande_median_eur_m2;Prix demandé médian;€/m²;commune;moteur:marche_pige;src/labuse/api/fiche_commune.py;radar_pige;live;fiche-commune-cache;date;même stats();src/labuse/api/fiche_commune.py
fiche_commune_annonces;ecart_demande_acte_pct;Écart demandé/acté;%;commune;moteur:marche_pige;src/labuse/api/fiche_commune.py:16-58;radar_pige,dvf;live;fiche-commune-cache;date;défini une fois dans comparable(), servi fiche + comparateur;src/labuse/api/fiche_commune.py:16-58
fiche_commune_loyers;loyer_median_eur_m2;Loyer médian;€/m²;commune;moteur:loyers;src/labuse/api/fiche_commune.py (loyer);DOUTE (entrées loyers.py);live;fiche-commune-cache;date;estimation locative loyers.py — entrées à confirmer (DOUTE);src/labuse/api/fiche_commune.py (loyer)
fiche_commune_foncier;n_parcelles_commune;N parcelles;nombre;commune;sql_propre;src/labuse/api/app.py:1905;cadastre_api_carto;live;fiche-commune-cache;date;count parcels par commune;src/labuse/api/app.py:1905
fiche_commune_foncier;stock_opportunites;Stock opportunités;nombre;commune;moteur:scoring_p_v2;src/labuse/api/app.py:1944-1948;cosia,sitadel,dvf;q_v11_m137 (constante_unique);fiche-commune-cache;date;MÊME définition et même run que la colonne stock du comparateur (commentaire OUTILS-6 C2);src/labuse/api/app.py:1944-1948
fiche_commune_foncier;n_densifiables;Densifiables;nombre;commune;moteur:renouvellement;src/labuse/api/fiche_commune.py;(dérivé cascade);q_v11_m137 (constante_unique);fiche-commune-cache;date;même compte que l'outil Densifier;src/labuse/api/fiche_commune.py
fiche_commune_zonage;part_zone_U_pct;Zonage — U;%;commune;sql_propre;src/labuse/api/app.py:1908-1955 (_foncier_commune, PART DE SURFACE);gpu_plu_api_carto,cadastre_api_carto;live;fiche-commune-cache;date;surface cadastrée U / surface zonée totale (somme=100 %);src/labuse/api/app.py:1908-1955 (_foncier_commune, PART DE SURFACE)
fiche_commune_zonage;part_zone_AU_pct;Zonage — AU;%;commune;sql_propre;src/labuse/api/app.py:1908-1955;gpu_plu_api_carto,cadastre_api_carto;live;fiche-commune-cache;date;surface AU / surface zonée;src/labuse/api/app.py:1908-1955
fiche_commune_zonage;part_zone_A_pct;Zonage — A;%;commune;sql_propre;src/labuse/api/app.py:1908-1955;gpu_plu_api_carto,cadastre_api_carto;live;fiche-commune-cache;date;surface A / surface zonée (Saint-Paul : 35,8 % — la part en PARCELLES vaut 17,8 %);src/labuse/api/app.py:1908-1955
fiche_commune_zonage;part_zone_N_pct;Zonage — N;%;commune;sql_propre;src/labuse/api/app.py:1908-1955;gpu_plu_api_carto,cadastre_api_carto;live;fiche-commune-cache;date;surface N / surface zonée (Saint-Paul : 47,2 % — la part en PARCELLES vaut 6,8 %);src/labuse/api/app.py:1908-1955
fiche_commune_risques;ppr_pct;PPR (part des parcelles);%;commune;sql_propre;src/labuse/api/fiche_commune.py:66-88 (_pct_layer);deal_ppr;live;fiche-commune-cache;date;part des parcelles de la commune intersectant la couche ppr;src/labuse/api/fiche_commune.py:66-88 (_pct_layer)
fiche_commune_risques;catnat_n;Arrêtés CatNat;nombre;commune;passe_plat;src/labuse/api/fiche_commune.py;(catnat_arretes);live;fiche-commune-cache;date;count catnat_arretes;src/labuse/api/fiche_commune.py
fiche_commune_population;habitants_n;Habitants;nombre;commune;passe_plat;src/labuse/api/fiche_commune.py:123 (population);filosofi_carreaux,insee_rp_logement;live;fiche-commune-cache;date;population INSEE/Filosofi commune;src/labuse/api/fiche_commune.py:123 (population)
fiche_commune_population;vacance_pct;Vacance;%;commune;sql_propre;src/labuse/api/fiche_commune.py:123;insee_rp_logement;live;fiche-commune-cache;date;100 × vacants / logements (RP);src/labuse/api/fiche_commune.py:123
fiche_commune_qpv;qpv_n;QPV;nombre;commune;sql_propre;src/labuse/api/fiche_commune.py;qpv_2024;live;fiche-commune-cache;date;count QPV intersectant la commune;src/labuse/api/fiche_commune.py
fiche_annonce;prix_demande_eur;Prix demandé;€;annonce;passe_plat;src/labuse/pige/client.py;radar_pige;live;aucun;date;fait déclaré de l'annonce (pige_faits), jamais le texte;src/labuse/pige/client.py
fiche_annonce;prix_demande_median_eur_m2;Prix demandé €/m² (contexte);€/m²;commune;moteur:marche_pige;src/labuse/pige/client.py;radar_pige;live;aucun;rien;contexte marché de la fiche bien;src/labuse/pige/client.py
fiche_proprietaire;n_parcelles_pm;Parcelles détenues (timeline);nombre;proprietaire;moteur:proprietaire_historique;src/labuse/proprietaire_historique.py;dgfip_parcelles_pm;live;aucun;millesime;timeline versionné∪servi, anti-doublon NOT EXISTS;src/labuse/proprietaire_historique.py
fiche_soleil;prod_spec_kwh_kwc;Productible (fiche soleil);nombre;parcelle;moteur:solaire;table parcel_solar + toiture_lidar;pvgis,lidar_hd_mnh;en_dur;aucun;millesime;même valeur gelée, rosace + photo du toit;table parcel_solar + toiture_lidar
copilote_compter_parcelles;copilote_compte_parcelles;Compte de parcelles (réponse);nombre;global;sql_propre;src/labuse/copilote_v2/outils.py:130-219;cadastre_api_carto;q_v11_m137 (constante_unique);aucun;rien;MÊME facette canonique que le filtre écran (égalité verrouillée);src/labuse/copilote_v2/outils.py:130-219
copilote_compter_permis;permis_12m_n;Nombre de permis accordés;nombre;commune;sql_propre;src/labuse/copilote_v2/outils.py:550-567;sitadel;live;aucun;rien;même endpoint permis() que l'outil (fenêtre 24 mois par défaut);src/labuse/copilote_v2/outils.py:550-567
copilote_parcelles_entreprise;n_parcelles_pm;Parcelles détenues par une personne morale;nombre;proprietaire;sql_propre;src/labuse/copilote_v2/outils.py:279-325;dgfip_parcelles_pm;live;aucun;millesime;même patrimoine() que Scan patrimoine;src/labuse/copilote_v2/outils.py:279-325
copilote_fiche_parcelle;surface_parcelle_m2;Surface (réponse);m²;parcelle;moteur:scoring_p_v2;src/labuse/copilote_v2/outils.py:333-345;cadastre_api_carto;q_v11_m137 (constante_unique);aucun;rien;_q_v2_fiche LU du run servi, jamais recalculé;src/labuse/copilote_v2/outils.py:333-345
copilote_stats_commune;taux_lls_pct;Taux LLS (réponse);%;commune;sql_propre;src/labuse/copilote_v2/outils.py:350-365;sru_dhup,insee_rp_logement;live;aucun;rien;même commune_contexte() que la fiche commune;src/labuse/copilote_v2/outils.py:350-365
copilote_delais_instruction;velocite_delai_median_mois;Délai médian d'instruction (réponse);nombre;commune;sql_propre;src/labuse/copilote_v2/outils.py:370-389;sitadel;live;aucun;rien;même velocite(), réserve Sitadel citée mot pour mot;src/labuse/copilote_v2/outils.py:370-389
