chiffre_id;cle;robinet_a;valeur_a;robinet_b;valeur_b;ecart;cause_probable;preuve;statut
part_zone_A_pct;Le Port;fiche_commune_zonage (surface);4.7 %;comptes par famille app.py:2436 (parcelles);0.3 %;4.4 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Le Port;fiche_commune_zonage (surface);8.4 %;comptes par famille app.py:2436 (parcelles);0.3 %;8.1 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Le Tampon;fiche_commune_zonage (surface);48.2 %;comptes par famille app.py:2436 (parcelles);21.4 %;26.8 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Le Tampon;fiche_commune_zonage (surface);37.4 %;comptes par famille app.py:2436 (parcelles);5.7 %;31.7 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Les Avirons;fiche_commune_zonage (surface);29.5 %;comptes par famille app.py:2436 (parcelles);22.6 %;6.9 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Les Avirons;fiche_commune_zonage (surface);55.4 %;comptes par famille app.py:2436 (parcelles);15.0 %;40.4 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Les Trois-Bassins;fiche_commune_zonage (surface);35.9 %;comptes par famille app.py:2436 (parcelles);19.0 %;16.9 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Les Trois-Bassins;fiche_commune_zonage (surface);56.8 %;comptes par famille app.py:2436 (parcelles);18.8 %;38.0 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Petite-Île;fiche_commune_zonage (surface);56.9 %;comptes par famille app.py:2436 (parcelles);32.6 %;24.3 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Petite-Île;fiche_commune_zonage (surface);30.0 %;comptes par famille app.py:2436 (parcelles);16.7 %;13.3 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-André;fiche_commune_zonage (surface);52.3 %;comptes par famille app.py:2436 (parcelles);9.2 %;43.1 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-André;fiche_commune_zonage (surface);18.7 %;comptes par famille app.py:2436 (parcelles);2.2 %;16.5 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Benoît;fiche_commune_zonage (surface);27.3 %;comptes par famille app.py:2436 (parcelles);23.1 %;4.2 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Benoît;fiche_commune_zonage (surface);67.8 %;comptes par famille app.py:2436 (parcelles);8.7 %;59.1 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Denis;fiche_commune_zonage (surface);7.2 %;comptes par famille app.py:2436 (parcelles);2.4 %;4.8 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Denis;fiche_commune_zonage (surface);69.0 %;comptes par famille app.py:2436 (parcelles);5.2 %;63.8 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Joseph;fiche_commune_zonage (surface);26.2 %;comptes par famille app.py:2436 (parcelles);30.5 %;4.3 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Joseph;fiche_commune_zonage (surface);66.9 %;comptes par famille app.py:2436 (parcelles);11.8 %;55.1 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Leu;fiche_commune_zonage (surface);38.9 %;comptes par famille app.py:2436 (parcelles);21.3 %;17.6 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Leu;fiche_commune_zonage (surface);50.4 %;comptes par famille app.py:2436 (parcelles);9.1 %;41.3 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Louis;fiche_commune_zonage (surface);35.1 %;comptes par famille app.py:2436 (parcelles);20.7 %;14.4 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Louis;fiche_commune_zonage (surface);49.5 %;comptes par famille app.py:2436 (parcelles);5.4 %;44.1 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Paul;fiche_commune_zonage (surface);35.8 %;comptes par famille app.py:2436 (parcelles);17.8 %;18.0 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Paul;fiche_commune_zonage (surface);47.2 %;comptes par famille app.py:2436 (parcelles);6.8 %;40.4 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Philippe;fiche_commune_zonage (surface);100.0 %;comptes par famille app.py:2436 (parcelles);100.0 %;0.0 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Saint-Pierre;fiche_commune_zonage (surface);57.3 %;comptes par famille app.py:2436 (parcelles);14.1 %;43.2 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Saint-Pierre;fiche_commune_zonage (surface);12.1 %;comptes par famille app.py:2436 (parcelles);3.3 %;8.8 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Sainte-Marie;fiche_commune_zonage (surface);32.4 %;comptes par famille app.py:2436 (parcelles);9.6 %;22.8 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Sainte-Marie;fiche_commune_zonage (surface);51.7 %;comptes par famille app.py:2436 (parcelles);12.3 %;39.4 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Sainte-Rose;fiche_commune_zonage (surface);18.0 %;comptes par famille app.py:2436 (parcelles);26.6 %;8.6 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Sainte-Rose;fiche_commune_zonage (surface);80.0 %;comptes par famille app.py:2436 (parcelles);19.2 %;60.8 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Sainte-Suzanne;fiche_commune_zonage (surface);52.5 %;comptes par famille app.py:2436 (parcelles);21.1 %;31.4 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Sainte-Suzanne;fiche_commune_zonage (surface);36.4 %;comptes par famille app.py:2436 (parcelles);7.9 %;28.5 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Salazie;fiche_commune_zonage (surface);11.9 %;comptes par famille app.py:2436 (parcelles);29.6 %;17.7 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Salazie;fiche_commune_zonage (surface);85.4 %;comptes par famille app.py:2436 (parcelles);30.8 %;54.6 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
n_sources;global;page_sources_client + admin_catalogue (WHERE_AFFICHEES);67;admin_flux_circuit (count(*) brut, flux.py:198);78;11;perimetre;SQL des deux chemins (ce script) — chemin fidèle : WHERE_AFFICHEES (sources_catalog.py:36, « la vitrine ne montre que ce qui SERT »);
prix_neuf_vefa_eur_m2;Saint-Paul (97415);comparateur/fiche/carte (moteur live neuf_vefa_commune);5 003 €/m² (mesure du mandat RETOURS-11F);précalcul dvf_prix_sortie_neuf (encore lu par score_e);4 730 €/m² (idem);273 €/m²;table;"src/labuse/api/comparateur.py:57-60 (commentaire chiffré) ; score_e lit encore dvf_prix_sortie_neuf (src/labuse/ingestion/score_e.py:59) — chemin fidèle : moteur live";solde — scission 0-bis : deux définitions, deux ids (prix_neuf_vefa_acte_eur_m2 pour le scoring, prix_neuf_observe_eur_m2 pour bilan/exports)
