idu,commune,ratio_pct,etage,annee_construction,annee_etiquette,passoire,divisible,decision,motif,tier_servi,rang
97411000KE0436,Saint-Denis,9.927095833903591,1,,Absent,f,f,servie,bâtie 10 % — servie (bâti marginal),chaude,338
97411000DX0079,Saint-Denis,44.62285026321154,3,,Absent,f,f,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,341
97415000CT2821,Saint-Paul,25.284529548797508,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,344
97412000AO0939,Saint-Joseph,14.956596201507708,1,,Absent,f,f,servie,bâtie 15 % — servie (bâti marginal),chaude,345
97415000EY1040,Saint-Paul,14.643437898561825,1,,Absent,f,f,servie,bâtie 15 % — servie (bâti marginal),chaude,360
97422000CY0197,Le Tampon,28.909789315363348,2,,Absent,f,t,divisible,bâtie 29 % mais DIVISIBLE : partie libre 617 m² ≥ 600 en U/AU (commune calibrée — Sourcé),brulante,368
97418000AS0292,Sainte-Marie,14.846247618399838,1,,Absent,f,f,servie,bâtie 15 % — servie (bâti marginal),chaude,371
97412000AM0938,Saint-Joseph,11.513640389777763,1,,Absent,f,t,servie,bâtie 12 % — servie (bâti marginal),brulante,380
97422000CX0551,Le Tampon,34.1453329219995,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,382
97415000AZ1993,Saint-Paul,25.780131227484834,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,383
97408000AC3507,La Possession,3.32324812403654,1,,Absent,f,t,servie,bâtie 3 % — servie (bâti marginal),chaude,384
97414000HL0590,Saint-Louis,42.54974364344641,3,,Absent,f,f,saturee,"bâtie saturée — ratio 43 % (emprise 325 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,415
97406000AL0413,La Plaine-des-Palmistes,6.298904755911836,1,,Absent,f,f,servie,bâtie 6 % — servie (bâti marginal),chaude,417
97415000CT1359,Saint-Paul,18.93120305168656,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,427
97414000CV0998,Saint-Louis,24.018210893956592,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,428
97410000AW1088,Saint-Benoît,19.874089159974407,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,442
97416000IE1899,Saint-Pierre,37.79320738086656,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,445
97412000BD0351,Saint-Joseph,6.32979389984036,1,,Absent,f,f,servie,bâtie 6 % — servie (bâti marginal),chaude,460
97411000HE0011,Saint-Denis,13.55169617320256,1,,Absent,f,f,servie,bâtie 14 % — servie (bâti marginal),chaude,468
97423000AB0321,Les Trois-Bassins,17.05046407154088,2,,Absent,f,t,divisible,bâtie 17 % mais DIVISIBLE : partie libre 3232 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,487
97408000AC1895,La Possession,39.55780859265577,2,,Absent,f,t,divisible,bâtie 40 % mais DIVISIBLE : partie libre 1234 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,492
97403000AS2102,Entre-Deux,9.375608403927036,1,,Absent,f,f,servie,bâtie 9 % — servie (bâti marginal),chaude,498
97415000CT0059,Saint-Paul,49.35196070112526,3,,Absent,f,f,saturee,"bâtie saturée — ratio 49 % (emprise 206 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,502
97422000AP1093,Le Tampon,31.875239161328423,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,523
97405000AV0204,Petite-Île,9.969226674328398,1,,Absent,f,t,servie,bâtie 10 % — servie (bâti marginal),chaude,530
97423000AE0927,Les Trois-Bassins,4.274263438725681,3,,Absent,f,t,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,551
97415000EO1102,Saint-Paul,13.938484131370151,1,,Absent,f,f,servie,bâtie 14 % — servie (bâti marginal),chaude,558
97422000DK0311,Le Tampon,15.52428528953878,2,,Absent,f,t,divisible,bâtie 16 % mais DIVISIBLE : partie libre 822 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,597
97408000AM0556,La Possession,26.979903935913292,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,612
97405000BI1064,Petite-Île,6.2486944456924505,1,,Absent,f,t,servie,bâtie 6 % — servie (bâti marginal),chaude,648
97411000BL0032,Saint-Denis,11.695221488131303,1,,Absent,f,t,servie,bâtie 12 % — servie (bâti marginal),chaude,649
97410000AV0657,Saint-Benoît,10.254047330433988,1,,Absent,f,f,servie,bâtie 10 % — servie (bâti marginal),chaude,658
97415000ET1048,Saint-Paul,27.975349229485584,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,662
97411000DY0164,Saint-Denis,34.21823629242873,3,,Absent,f,f,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,672
97422000BD3733,Le Tampon,47.884761519447565,3,,Absent,f,f,saturee,"bâtie saturée — ratio 48 % (emprise 171 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,695
97408000AO1810,La Possession,27.589807593427352,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,699
97415000DE0816,Saint-Paul,31.075666578274788,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,707
97415000EO0571,Saint-Paul,6.325669021991552,1,,Absent,f,f,servie,bâtie 6 % — servie (bâti marginal),chaude,734
97422000AP0245,Le Tampon,27.333447921498774,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,752
97415000BO0142,Saint-Paul,28.188310220842432,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,756
97408000AO1908,La Possession,8.215578131257374,1,,Absent,f,f,servie,bâtie 8 % — servie (bâti marginal),chaude,767
97415000BN1343,Saint-Paul,27.84527640595562,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,771
97416000EK0023,Saint-Pierre,23.08924916247147,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,779
97410000BE1176,Saint-Benoît,21.77203138317948,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,783
97411000CD1188,Saint-Denis,12.83567673843021,1,,Absent,f,t,servie,bâtie 13 % — servie (bâti marginal),chaude,813
97412000AO0973,Saint-Joseph,8.806487067472114,1,,Absent,f,f,servie,bâtie 9 % — servie (bâti marginal),chaude,820
97413000CS0128,Saint-Leu,20.714925776724023,2,,Absent,f,t,divisible,bâtie 21 % mais DIVISIBLE : partie libre 1089 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,825
97408000AC2940,La Possession,2.146856382618094,1,,Absent,f,t,servie,bâtie 2 % — servie (bâti marginal),chaude,850
97403000AO0729,Entre-Deux,4.001891942103198,1,,Absent,f,f,servie,bâtie 4 % — servie (bâti marginal),chaude,863
97413000DE2326,Saint-Leu,41.07630055008546,3,,Absent,f,f,saturee,"bâtie saturée — ratio 41 % (emprise 189 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,865
97413000CX2897,Saint-Leu,1.2324552187549698,1,,Absent,f,t,servie,bâtie 1 % — servie (bâti marginal),chaude,890
97405000AN0684,Petite-Île,21.83431290194383,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,899
97422000CX1023,Le Tampon,41.66565106059876,3,,Absent,f,f,saturee,"bâtie saturée — ratio 42 % (emprise 296 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,913
97415000AT0708,Saint-Paul,20.408762386787416,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,936
97415000CT1210,Saint-Paul,42.93714213424016,3,,Absent,f,f,saturee,"bâtie saturée — ratio 43 % (emprise 274 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,946
97422000AS0736,Le Tampon,38.26709329293843,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,947
97415000EO0463,Saint-Paul,13.978928608451808,1,,Absent,f,t,servie,bâtie 14 % — servie (bâti marginal),chaude,968
97416000CY0759,Saint-Pierre,28.394081477587466,3,,Absent,f,t,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,974
97412000AM0599,Saint-Joseph,37.936565385701364,3,,Absent,f,f,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,978
97415000EY0942,Saint-Paul,70.42002130188497,3,,Absent,f,f,saturee,"bâtie saturée — ratio 70 % (emprise 212 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,981
97409000AK1243,Saint-André,6.589411372624772,1,,Absent,f,,servie,bâtie 7 % — servie (bâti marginal),chaude,982
97412000AM2014,Saint-Joseph,29.360719141604175,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,984
97415000DK0042,Saint-Paul,17.683843808012362,2,,Absent,f,t,divisible,bâtie 18 % mais DIVISIBLE : partie libre 745 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,985
97410000AO0447,Saint-Benoît,30.762809998925448,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,986
97412000CE2854,Saint-Joseph,5.598081199580533,1,,Absent,f,f,servie,bâtie 6 % — servie (bâti marginal),chaude,992
97415000CS0765,Saint-Paul,48.20442103729762,3,,Absent,f,f,saturee,"bâtie saturée — ratio 48 % (emprise 204 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1013
97403000AM0816,Entre-Deux,4.784430498514187,1,,Absent,f,f,servie,bâtie 5 % — servie (bâti marginal),chaude,1015
97415000EY0833,Saint-Paul,23.840424244713535,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1048
97416000EP0726,Saint-Pierre,24.128487752392733,2,,Absent,f,t,divisible,bâtie 24 % mais DIVISIBLE : partie libre 755 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1050
97411000HW0435,Saint-Denis,23.35260600417348,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1054
97415000CM0955,Saint-Paul,51.34138633120955,3,,Absent,f,f,saturee,"bâtie saturée — ratio 51 % (emprise 157 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1063
97411000AE0058,Saint-Denis,83.4904791117879,3,,Absent,f,f,saturee,"bâtie saturée — ratio 83 % (emprise 782 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1072
97415000CW0228,Saint-Paul,31.93830663240138,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1087
97403000AP0171,Entre-Deux,27.74844881947913,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1100
97411000EK0108,Saint-Denis,17.40661978758626,2,,Absent,f,t,divisible,bâtie 17 % mais DIVISIBLE : partie libre 955 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1111
97412000CE1505,Saint-Joseph,23.647180777096665,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1120
97412000BY1430,Saint-Joseph,17.320883844818002,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1122
97415000AW2210,Saint-Paul,8.517209846029852,1,,Absent,f,f,servie,bâtie 9 % — servie (bâti marginal),chaude,1128
97410000BE1190,Saint-Benoît,34.040097794673976,2,,Absent,f,t,divisible,bâtie 34 % mais DIVISIBLE : partie libre 730 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1151
97411000HV0235,Saint-Denis,12.283755279344195,1,,Absent,f,f,servie,bâtie 12 % — servie (bâti marginal),chaude,1165
97411000EK0005,Saint-Denis,30.39752329031035,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1180
97412000AP0747,Saint-Joseph,17.828755234663447,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1185
97415000CY0149,Saint-Paul,26.616101011480943,3,,Absent,f,f,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,1189
97415000DE0350,Saint-Paul,21.528644166252548,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1195
97418000AS0078,Sainte-Marie,29.33405410929489,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1204
97413000DC0480,Saint-Leu,10.57874575353855,1,,Absent,f,f,servie,bâtie 11 % — servie (bâti marginal),chaude,1206
97415000HN0318,Saint-Paul,32.01432309195058,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1207
97418000AR1853,Sainte-Marie,41.1956442958505,3,,Absent,f,f,saturee,"bâtie saturée — ratio 41 % (emprise 237 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1209
97422000CX0540,Le Tampon,27.60890947791881,2,,Absent,f,t,divisible,bâtie 28 % mais DIVISIBLE : partie libre 722 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1218
97422000BO1419,Le Tampon,7.379719686969828,1,,Absent,f,f,servie,bâtie 7 % — servie (bâti marginal),chaude,1231
97412000CR0626,Saint-Joseph,29.650107946723345,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1232
97409000AV1241,Saint-André,19.78830028750979,2,,Absent,f,,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1241
97415000DR1384,Saint-Paul,8.71735972189692,1,,Absent,f,f,servie,bâtie 9 % — servie (bâti marginal),chaude,1244
97418000AY0476,Sainte-Marie,52.86100498084848,3,,Absent,f,f,saturee,"bâtie saturée — ratio 53 % (emprise 170 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1246
97411000EH0144,Saint-Denis,22.139127442698683,3,,Absent,f,t,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,1247
97410000CD0879,Saint-Benoît,13.017792284776823,1,,Absent,f,f,servie,bâtie 13 % — servie (bâti marginal),chaude,1262
97411000AH0294,Saint-Denis,17.145721646153373,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1275
97410000BI0556,Saint-Benoît,21.842602947856573,2,,Absent,f,t,divisible,bâtie 22 % mais DIVISIBLE : partie libre 602 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1290
97422000CX0682,Le Tampon,8.782124018445439,1,,Absent,f,t,servie,bâtie 9 % — servie (bâti marginal),chaude,1300
97416000EZ0553,Saint-Pierre,30.49881259787928,2,,Absent,f,t,divisible,bâtie 30 % mais DIVISIBLE : partie libre 1257 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1301
97415000AH0692,Saint-Paul,29.8439785915146,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1303
97414000EN4068,Saint-Louis,22.622347673912767,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1304
97416000IE2047,Saint-Pierre,10.162337151206753,1,,Absent,f,t,servie,bâtie 10 % — servie (bâti marginal),chaude,1308
97415000DT0355,Saint-Paul,55.986719145429475,3,,Absent,f,f,saturee,"bâtie saturée — ratio 56 % (emprise 337 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1316
97422000CN0343,Le Tampon,7.18419982907191,1,,Absent,f,f,servie,bâtie 7 % — servie (bâti marginal),chaude,1321
97415000AC0253,Saint-Paul,8.289645194819638,1,,Absent,f,t,servie,bâtie 8 % — servie (bâti marginal),chaude,1324
97404000BA0172,L'Étang-Salé,28.562288325048385,2,,Absent,f,,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1325
97415000BV1289,Saint-Paul,18.105580987318316,2,,Absent,f,t,divisible,bâtie 18 % mais DIVISIBLE : partie libre 822 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1330
97411000EM0273,Saint-Denis,16.995634696451166,3,,Absent,f,t,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,1337
97409000AC0716,Saint-André,40.17156675345125,3,,Absent,f,,saturee,"bâtie saturée — ratio 40 % (emprise 234 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1342
97405000AZ1026,Petite-Île,16.24643156500529,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1354
97416000HY1458,Saint-Pierre,20.364673560473346,2,,Absent,f,t,divisible,bâtie 20 % mais DIVISIBLE : partie libre 969 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1355
97420000AO0487,Sainte-Suzanne,4.021400691744302,1,,Absent,f,f,servie,bâtie 4 % — servie (bâti marginal),chaude,1370
97403000AR1151,Entre-Deux,8.326440940549562,1,,Absent,f,f,servie,bâtie 8 % — servie (bâti marginal),chaude,1377
97418000AR2574,Sainte-Marie,14.924572737012499,1,,Absent,f,f,servie,bâtie 15 % — servie (bâti marginal),chaude,1384
97415000CX0802,Saint-Paul,0.9774660188909395,1,,Absent,f,t,servie,bâtie 1 % — servie (bâti marginal),chaude,1388
97415000HP0370,Saint-Paul,23.88301818807737,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1401
97415000EO0572,Saint-Paul,37.916962387505336,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1402
97409000AY1501,Saint-André,10.65059452137006,1,,Absent,f,,servie,bâtie 11 % — servie (bâti marginal),chaude,1408
97406000AW0962,La Plaine-des-Palmistes,20.693225431007917,2,,Absent,f,t,divisible,bâtie 21 % mais DIVISIBLE : partie libre 694 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1411
97408000AC3764,La Possession,1.7519642441714411,3,,Absent,f,t,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,1418
97408000AP1682,La Possession,1.0744351341405387,1,,Absent,f,t,servie,bâtie 1 % — servie (bâti marginal),chaude,1431
97413000CR0842,Saint-Leu,9.186076894362904,1,,Absent,f,f,servie,bâtie 9 % — servie (bâti marginal),chaude,1432
97411000HX0239,Saint-Denis,7.944918617185559,1,,Absent,f,f,servie,bâtie 8 % — servie (bâti marginal),chaude,1436
97415000EV0167,Saint-Paul,19.96975794709223,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1442
97415000EY1415,Saint-Paul,25.664981094339733,2,,Absent,f,t,divisible,bâtie 26 % mais DIVISIBLE : partie libre 705 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1447
97403000AR0697,Entre-Deux,43.8399794918638,3,,Absent,f,f,saturee,"bâtie saturée — ratio 44 % (emprise 329 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1451
97415000DK1006,Saint-Paul,44.27948260934769,3,,Absent,f,f,saturee,"bâtie saturée — ratio 44 % (emprise 171 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1463
97411000AM0421,Saint-Denis,37.14443100594861,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1482
97404000AW0200,L'Étang-Salé,35.76462373987371,2,,Absent,f,,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1484
97415000CT1663,Saint-Paul,42.029688230943115,3,,Absent,f,f,saturee,"bâtie saturée — ratio 42 % (emprise 166 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1485
97413000CU0526,Saint-Leu,36.20643465121553,2,,Absent,f,t,divisible,bâtie 36 % mais DIVISIBLE : partie libre 662 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,1495
97414000DE1341,Saint-Louis,19.590819479437336,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1501
97408000AN1286,La Possession,2.652067886117936,1,,Absent,f,t,servie,bâtie 3 % — servie (bâti marginal),chaude,1508
97416000EL0114,Saint-Pierre,29.659300197573888,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1514
97409000AY0204,Saint-André,32.515044873971014,2,,Absent,f,,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1519
97417000AT1361,Saint-Philippe,19.878544278747395,2,,Absent,f,,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1552
97404000AE1574,L'Étang-Salé,54.18817143018487,3,,Absent,f,,saturee,"bâtie saturée — ratio 54 % (emprise 288 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,1554
97412000CE2568,Saint-Joseph,28.205822688803995,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,1556
