idu,tier_servi,tier_mesure,rang_servi,rang_mesure,cause
97406000AP0422,ecartee,ecartee,47,55,départage (D→SDP→surface→IDU)
97411000EL0201,brulante,declasse_bati_sature,48,54,"filtre (saturée: bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible)"
97411000EL0656,brulante,brulante,106,48,départage (D→SDP→surface→IDU)
97415000ET1707,chaude,chaude,49,82,départage (D→SDP→surface→IDU)
97415000DE1325,brulante,brulante,53,49,départage (D→SDP→surface→IDU)
97411000BP0966,declasse_bati_revele,declasse_bati_revele,105,50,départage (D→SDP→surface→IDU)
97408000AC3640,chaude,chaude,50,95,départage (D→SDP→surface→IDU)
97415000AY1535,brulante,brulante,96,51,départage (D→SDP→surface→IDU)
97415000HP0029,ecartee,ecartee,52,110,départage (D→SDP→surface→IDU)
97406000AI0706,brulante,brulante,102,53,départage (D→SDP→surface→IDU)
97415000EO1079,ecartee,ecartee,56,63,départage (D→SDP→surface→IDU)
97410000AS1439,brulante,brulante,86,56,départage (D→SDP→surface→IDU)
97411000HD0032,ecartee,ecartee,57,109,départage (D→SDP→surface→IDU)
97410000AV0309,ecartee,ecartee,108,57,départage (D→SDP→surface→IDU)
97415000CX1395,brulante,declasse_bati_sature,100,58,"filtre (saturée: bâtie saturée — ratio 42 % (emprise 254 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025)))"
97408000AP1631,chaude,chaude,58,104,départage (D→SDP→surface→IDU)
97409000AX1085,brulante,brulante,107,59,départage (D→SDP→surface→IDU)
97415000CY0649,ecartee,ecartee,59,87,départage (D→SDP→surface→IDU)
97414000EN3391,declasse_non_constructible,declasse_non_constructible,61,91,départage (D→SDP→surface→IDU)
97411000EH0189,chaude,chaude,62,97,départage (D→SDP→surface→IDU)
97413000CA0242,ecartee,ecartee,63,76,départage (D→SDP→surface→IDU)
97411000AD0549,ecartee,ecartee,80,64,départage (D→SDP→surface→IDU)
97415000AB0376,ecartee,ecartee,64,107,départage (D→SDP→surface→IDU)
97412000BK1097,ecartee,ecartee,104,65,départage (D→SDP→surface→IDU)
97405000AR1779,chaude,chaude,65,85,départage (D→SDP→surface→IDU)
97415000AY1638,ecartee,ecartee,76,66,départage (D→SDP→surface→IDU)
97411000HL0011,ecartee,ecartee,66,105,départage (D→SDP→surface→IDU)
97411000EH0140,ecartee,ecartee,67,89,départage (D→SDP→surface→IDU)
97414000EN4045,declasse_non_constructible,declasse_non_constructible,79,67,départage (D→SDP→surface→IDU)
97406000AV1024,chaude,chaude,101,68,départage (D→SDP→surface→IDU)
97411000EH0190,ecartee,ecartee,69,77,départage (D→SDP→surface→IDU)
97422000BD3747,chaude,chaude,87,69,départage (D→SDP→surface→IDU)
97422000BT1345,ecartee,ecartee,77,70,départage (D→SDP→surface→IDU)
97414000DT0722,ecartee,ecartee,70,75,départage (D→SDP→surface→IDU)
97412000AO0971,ecartee,ecartee,109,71,départage (D→SDP→surface→IDU)
97415000EZ0131,ecartee,ecartee,71,100,départage (D→SDP→surface→IDU)
97415000CY1177,ecartee,ecartee,72,99,départage (D→SDP→surface→IDU)
97415000CY1041,chaude,chaude,74,102,départage (D→SDP→surface→IDU)
97418000AS0733,ecartee,ecartee,94,78,départage (D→SDP→surface→IDU)
97415000CX0939,chaude,declasse_bati_sature,93,79,"filtre (saturée: bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible)"
97414000CV0772,declasse_bati_revele,declasse_bati_revele,83,90,départage (D→SDP→surface→IDU)
97408000AP1604,chaude,chaude,84,93,départage (D→SDP→surface→IDU)
97413000CA0246,ecartee,ecartee,85,92,départage (D→SDP→surface→IDU)
97415000CX0533,a_creuser,declasse_bati_sature,95,88,filtre (saturée: SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4)
97408000AP1149,chaude,chaude,88,103,départage (D→SDP→surface→IDU)
97411000EL0640,chaude,chaude,92,94,départage (D→SDP→surface→IDU)
97423000AE0961,ecartee,ecartee,103,98,départage (D→SDP→surface→IDU)
